Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Guarantor_Income
LP001192,Male,No,0,Graduate,No,4309.0,0,198.0,360.0,1.0,Semiurban,Y,
LP001193,Male,Yes,2,Graduate,No,4115.0,2744,244.0,360.0,0.0,Urban,N,
LP001194,Female,Yes,0,Graduate,No,5807.0,2507,299.0,360.0,1.0,Semiurban,Y,
LP001195,Male,No,3+,Graduate,,2667.0,6278,291.0,180.0,1.0,Rural,Y,
LP001196,Male,Yes,1,Graduate,No,6685.0,3323,332.0,360.0,1.0,Rural,Y,2819.0
LP001197,Male,Yes,0,Not Graduate,No,5218.0,0,209.0,360.0,,Semiurban,Y,
LP001198,Female,No,0,Graduate,No,2339.0,3264,175.0,360.0,1.0,Urban,Y,
LP001199,Male,No,0,Graduate,No,7286.0,0,285.0,360.0,1.0,Urban,N,4088.0
LP001200,Male,Yes,3+,Not Graduate,No,11560.0,1122,480.0,240.0,1.0,Urban,Y,
LP001201,Male,Yes,0,Graduate,No,6640.0,0,267.0,360.0,1.0,Rural,Y,5531.0
LP001202,Female,Yes,0,Graduate,No,8040.0,547,336.0,180.0,1.0,Rural,Y,3687.0
LP001203,Male,Yes,3+,Not Graduate,No,4396.0,1954,198.0,360.0,,Semiurban,Y,
LP001204,Male,Yes,3+,Graduate,No,2003.0,1083,127.0,360.0,1.0,Urban,N,
LP001205,Male,Yes,0,Graduate,No,1845.0,0,49.0,360.0,1.0,Semiurban,Y,
LP001206,Male,No,0,Graduate,,4745.0,1047,211.0,360.0,1.0,Urban,Y,
LP001207,Male,No,0,Not Graduate,No,3241.0,2577,187.0,360.0,1.0,Rural,Y,2618.0
LP001208,Male,Yes,0,Graduate,,2803.0,2022,172.0,180.0,0.0,Urban,N,3307.0
LP001209,Male,Yes,0,Graduate,No,4112.0,4630,227.0,360.0,1.0,Urban,Y,1511.0
LP001210,Male,Yes,0,Graduate,No,5580.0,0,245.0,360.0,1.0,Semiurban,Y,
LP001211,Male,No,2,Graduate,No,2200.0,1260,103.0,360.0,1.0,Urban,Y,
LP001212,Male,Yes,0,Not Graduate,No,3456.0,0,169.0,360.0,1.0,Semiurban,Y,
LP001213,Male,Yes,1,Graduate,No,8345.0,0,322.0,360.0,0.0,Rural,N,
LP001214,Male,Yes,0,Not Graduate,No,2607.0,2550,167.0,240.0,1.0,Urban,N,
LP001215,Male,Yes,2,Graduate,No,6257.0,2847,369.0,360.0,1.0,Semiurban,Y,2850.0
LP001216,Male,No,1,Graduate,No,3401.0,0,129.0,360.0,0.0,Semiurban,Y,
LP001217,,No,2,Not Graduate,No,5408.0,0,247.0,360.0,1.0,Urban,Y,3121.0
LP001218,Male,Yes,3+,,No,6931.0,0,278.0,360.0,1.0,Urban,Y,2163.0
LP001219,Female,No,0,Graduate,Yes,5905.0,0,247.0,360.0,1.0,Urban,Y,
LP001220,Male,No,0,Not Graduate,No,6369.0,2269,313.0,360.0,1.0,Urban,N,2075.0
LP001221,Male,Yes,0,Graduate,Yes,2519.0,0,122.0,360.0,1.0,Urban,Y,2924.0
LP001222,Male,Yes,0,Graduate,Yes,6982.0,1935,311.0,180.0,1.0,Rural,Y,
LP001223,Male,Yes,3+,Not Graduate,Yes,2882.0,0,91.0,360.0,1.0,Semiurban,Y,
LP001224,Female,No,0,Graduate,No,4754.0,0,174.0,360.0,1.0,Rural,Y,1801.0
LP001225,Male,Yes,2,Graduate,No,4751.0,3611,283.0,360.0,1.0,Semiurban,Y,
LP001226,Female,Yes,0,Graduate,No,5262.0,0,205.0,360.0,1.0,,Y,
LP001227,Male,Yes,0,Graduate,No,4923.0,1984,264.0,360.0,1.0,Semiurban,Y,4412.0
LP001228,Male,No,0,Graduate,Yes,2894.0,1654,190.0,360.0,1.0,Urban,Y,1679.0
LP001229,Male,Yes,1,Graduate,No,2304.0,8570,282.0,120.0,1.0,Urban,Y,2340.0
LP001230,Male,No,1,Graduate,No,6264.0,1224,263.0,360.0,1.0,Semiurban,Y,2937.0
LP001231,Male,Yes,0,Graduate,No,4599.0,0,148.0,360.0,1.0,Rural,Y,
LP001232,Male,No,0,Graduate,No,7096.0,1274,366.0,360.0,1.0,Semiurban,Y,1847.0
LP001233,Female,Yes,1,Graduate,No,4146.0,5834,319.0,360.0,1.0,Urban,Y,2350.0
LP001234,Male,Yes,0,Graduate,No,2248.0,3402,187.0,360.0,1.0,Rural,Y,1043.0
LP001235,Female,No,3+,Graduate,Yes,6534.0,0,228.0,360.0,1.0,Urban,Y,
LP001236,Male,No,0,Graduate,No,,0,143.0,360.0,1.0,Rural,Y,
LP001237,Male,Yes,0,Graduate,No,4934.0,0,210.0,360.0,1.0,Rural,Y,3210.0
LP001238,Male,Yes,0,Not Graduate,No,3161.0,0,,120.0,1.0,Rural,Y,
LP001239,Male,No,0,Graduate,Yes,8866.0,3149,460.0,300.0,1.0,Rural,Y,
LP001240,Male,No,0,Graduate,No,2851.0,0,172.0,360.0,0.0,Urban,N,2364.0
LP001241,Female,Yes,0,Not Graduate,No,3634.0,0,122.0,360.0,1.0,Semiurban,N,
LP001242,Male,Yes,3+,Graduate,No,4440.0,0,152.0,180.0,1.0,Semiurban,Y,
LP001243,Male,No,0,Graduate,Yes,2588.0,2588,146.0,60.0,0.0,Semiurban,N,
LP001244,Male,No,0,Graduate,No,4909.0,0,237.0,240.0,0.0,Urban,N,1913.0
LP001245,Male,No,0,Graduate,No,8737.0,2070,427.0,360.0,,Urban,Y,
LP001246,Female,Yes,0,Graduate,Yes,3392.0,0,132.0,360.0,1.0,Urban,Y,
LP001247,Male,Yes,1,Graduate,No,5053.0,5521,341.0,360.0,,Semiurban,N,
LP001248,Male,No,0,Graduate,No,1500.0,0,40.0,,1.0,Semiurban,Y,1996.0
LP001249,Male,No,1,Not Graduate,,4157.0,2583,253.0,360.0,,Rural,Y,6150.0
LP001250,Male,No,0,Not Graduate,No,3674.0,0,137.0,360.0,1.0,Rural,Y,
LP001251,Male,Yes,3+,Graduate,No,,0,111.0,,1.0,Semiurban,Y,
LP001252,Female,Yes,0,Graduate,No,6882.0,0,290.0,360.0,1.0,Urban,Y,
LP001253,Male,No,2,Graduate,No,3653.0,0,141.0,360.0,1.0,Semiurban,Y,
LP001254,Male,Yes,0,,No,3905.0,0,150.0,360.0,1.0,Urban,Y,
LP001255,Male,No,0,Graduate,No,3570.0,2426,204.0,360.0,1.0,Urban,Y,
LP001256,Male,Yes,2,Graduate,No,1785.0,877,113.0,360.0,1.0,Urban,Y,
LP001257,Female,No,1,Graduate,No,2542.0,0,143.0,360.0,0.0,Urban,Y,
LP001258,Male,No,2,,Yes,6519.0,549,289.0,360.0,1.0,Urban,Y,2320.0
LP001259,Male,Yes,0,Graduate,No,1637.0,2308,143.0,240.0,0.0,Semiurban,N,
LP001260,Male,Yes,1,Graduate,No,2996.0,0,115.0,360.0,0.0,Urban,N,
LP001261,Male,Yes,2,Graduate,,3534.0,0,124.0,360.0,1.0,Urban,Y,
LP001262,Female,Yes,1,Not Graduate,No,9271.0,0,387.0,360.0,1.0,Urban,Y,2334.0
LP001263,Male,Yes,0,Graduate,No,5978.0,0,243.0,360.0,1.0,Semiurban,Y,
LP001264,Male,Yes,1,Graduate,No,3292.0,3223,177.0,360.0,0.0,Semiurban,N,
LP001265,Female,No,1,Graduate,No,7609.0,1312,329.0,360.0,1.0,Urban,Y,
LP001266,Male,Yes,3+,Graduate,No,3031.0,5224,250.0,360.0,1.0,Urban,Y,
LP001267,Male,Yes,0,Graduate,No,6661.0,3133,332.0,360.0,,Rural,N,5758.0
LP001268,Male,Yes,0,Graduate,No,2295.0,1091,156.0,360.0,1.0,Semiurban,Y,
LP001269,,Yes,2,Graduate,No,6857.0,0,286.0,360.0,0.0,Semiurban,Y,
LP001270,Male,Yes,0,Graduate,No,3524.0,0,175.0,360.0,1.0,Semiurban,Y,1719.0
LP001271,Male,Yes,1,Graduate,No,2663.0,0,113.0,360.0,1.0,Rural,Y,
LP001272,Male,No,0,Graduate,No,3836.0,0,155.0,360.0,1.0,Rural,Y,
LP001273,Male,Yes,0,Graduate,No,4792.0,0,168.0,360.0,1.0,Semiurban,Y,
LP001274,,No,1,Graduate,No,3386.0,1275,168.0,360.0,1.0,Semiurban,Y,3384.0
LP001275,Male,Yes,0,Graduate,No,5428.0,0,217.0,180.0,0.0,Urban,Y,
LP001276,Male,Yes,0,Graduate,No,3254.0,0,96.0,84.0,1.0,Semiurban,Y,7285.0
