EmployeeID,Age,Gender,Department,Education,PriorCompanies,YearsAtCompany,MonthlyIncome,DistanceFromHome,OverTime,PerformanceRating,Attrition
E0403,42.0,Female,Engineering,Masters,0,2.9,3777.0,3.2,No,Low,Yes
E0559,25.0,Male,Marketing,Masters,0,1.4,4234.0,0.5,No,Low,Yes
E0611,27.0,Male,Engineering,Bachelors,3+,3.2,8132.0,5.1,No,Medium,No
E0221,33.0,Male,Marketing,,0,0.7,10228.0,8.3,no,High,No
E0061,22.0,Male,Finance,Bachelors,1,0.6,7225.0,6.6,No,High,No
E0129,30.0,Female,Marketing,Masters,0,2.9,7527.0,2.3,Yes,High,Yes
E0096,23.0,Male,Engineering,High School,3+,1.3,4798.0,,No,High,No
E0273,34.0,Male,,High School,0,14.5,7464.0,10.3,No,Excellent,No
E0241,,Male,Sales,PhD,0,0.7,3320.0,3.8,No,Medium,No
E0357,,Male,Finance,PhD,0,2.7,7786.0,3.8,No,Medium,No
E0591,,Male,Engineering,Bachelors,3+,1.7,4001.0,14.8,No,Medium,No
E0629,27.0,male,Engineering,Bachelors,1,0.6,2168.0,5.0,No,Medium,No
E0548,27.0,female,Engineering,,1,10.7,2402.0,5.5,No,High,No
E0516,38.0,Male,Sales,Bachelors,0,0.5,7304.0,33.8,yes,High,Yes
E0215,32.0,Male,Engineering,Bachelors,0,6.5,5191.0,55.4,No,Excellent,No
E0248,50.0,Male,Engineering,Bachelors,1,1.6,5985.0,1.2,No,High,No
E0289,33.0,male,Engineering,High School,0,8.5,5898.0,1.2,NO,Low,No
E0192,34.0,Male,Marketing,Bachelors,0,4.3,2376.0,10.5,No,Low,No
E0317,36.0,Male,Sales,Masters,3+,0.1,6072.0,4.1,Yes,Low,Yes
E0455,36.0,Male,Sales,Bachelors,0,2.1,11163.0,4.6,Yes,High,No
E0476,32.0,MALE,Engineering,PhD,3+,2.1,5173.0,1.2,No,Medium,No
E0280,37.0,Female,Finance,,2,13.2,2130.0,8.9,No,Excellent,Yes
E0458,28.0,Female,Sales,Masters,1,3.3,3049.0,0.8,No,Medium,No
E0379,48.0,Male,Marketing,Bachelors,3+,5.4,2361.0,2.8,No,Excellent,No
E0149,44.0,Male,Sales,Bachelors,3+,6.9,4373.0,23.3,No,Excellent,No
E0498,32.0,Male,Finance,High School,0,3.3,13436.0,1.6,No,High,No
E0348,40.0,Female,Engineering,Masters,2,8.7,3240.0,0.2,No,High,No
E0172,39.0,Male,Sales,Masters,2,1.8,5569.0,2.1,No,Medium,No
E0483,36.0,Male,Finance,Masters,2,,1056.0,1.0,No,Medium,No
E0693,43.0,Male,Finance,High School,0,0.7,4305.0,12.9,No,,No
E0401,34.0,Male,Engineering,Masters,2,4.0,6588.0,3.6,No,Medium,No
E0118,35.0,Male,Engineering,PhD,0,1.9,5445.0,0.6,No,Medium,No
E0491,44.0,Male,HR,Bachelors,2,4.4,4041.0,2.2,No,Medium,Yes
E0526,31.0,Male,Sales,PhD,2,3.3,2230.0,20.6,yes,Low,Yes
E0532,27.0,Male,Engineering,Masters,1,2.8,5491.0,7.5,No,Medium,No
E0435,42.0,Female,Engineering,Bachelors,3+,1.9,4808.0,8.1,No,High,No
E0642,41.0,Female,Finance,Bachelors,0,0.1,8797.0,0.8,No,Excellent,No
E0184,44.0,Male,Engineering,Bachelors,1,9.9,3462.0,2.7,No,Excellent,Yes
E0222,37.0,Male,Engineering,Masters,2,2.3,7875.0,3.2,Yes,Medium,No
E0619,,Male,Finance,Bachelors,1,0.1,5876.0,1.2,Yes,Medium,Yes
E0007,36.0,Male,Finance,PhD,2,4.2,4870.0,4.5,YES,High,Yes
E0574,28.0,Male,Engineering,Bachelors,1,3.1,,2.9,No,High,Yes
E0027,39.0,Male,Sales,High School,1,8.2,3261.0,24.8,Yes,Medium,Yes
E0359,28.0,Male,Marketing,Masters,0,4.2,7441.0,1.4,Yes,Medium,Yes
E0224,26.0,male,Engineering,Bachelors,0,,12263.0,8.7,No,Medium,No
E0093,32.0,Male,Engineering,PhD,0,0.6,3962.0,0.6,Yes,High,Yes
E0549,41.0,Female,Marketing,Bachelors,3+,0.1,3624.0,5.9,No,High,No
E0382,45.0,Male,Sales,Bachelors,1,6.0,8697.0,0.2,No,High,Yes
E0279,45.0,Male ,Finance,Masters,1,1.3,10593.0,25.4,Yes,High,No
E0534,,Female,Engineering,Bachelors,0,4.6,2320.0,0.1,No,High,No
E0136,27.0,Female,Engineering,Masters,3+,3.0,,3.5,No,Low,No
E0582,26.0,Female,Engineering,Bachelors,1,0.7,6614.0,6.0,No,Medium,Yes
E0432,39.0,Female,Engineering,Masters,1,1.5,4367.0,9.9,No,Medium,No
E0240,31.0,,Sales,High School,0,0.7,5354.0,13.3,No,High,No
E0003,41.0,Male,Sales,Masters,2,1.9,5096.0,5.6,YES,Medium,Yes
E0159,31.0,Female,Finance,Masters,1,9.1,4272.0,3.4,Yes,Medium,No
E0286,31.0,Female,Engineering,PhD,0,0.2,,0.7,No,High,No
E0260,24.0,Female,Marketing,PhD,1,3.1,6893.0,12.5,No,Medium,No
E0271,29.0,Male,HR,Masters,0,3.3,7315.0,3.3,No,Medium,No
E0121,27.0,,Engineering,Bachelors,1,1.0,2369.0,0.9,No,Excellent,Yes
E0374,42.0,Male,Marketing,High School,1,13.5,3661.0,21.4,No,High,No
E0034,92.0,Male,Sales,Bachelors,,2.4,4801.0,0.1,Yes,Low,No
E0457,44.0,Female,Finance,Bachelors,2,7.5,6010.0,8.8,No,Excellent,No
E0312,39.0,Female,Engineering,High School,0,0.7,2876.0,0.9,No,Low,No
E0219,34.0,Female,Marketing,High School,2,4.5,5495.0,13.1,no,High,No
E0415,33.0,FEMALE,Sales,Bachelors,1,3.0,4183.0,0.1,No,Excellent,No
E0598,42.0,Female,Engineering,PhD,0,7.9,7404.0,2.9,No,Excellent,No
E0026,32.0,Male,Sales,PhD,0,8.9,6673.0,3.9,No,Low,No
E0564,29.0,Male,Sales,Bachelors,3+,4.8,2543.0,10.4,No,High,No
E0040,,Female,HR,High School,0,12.3,6129.0,4.9,Yes,High,No
E0202,46.0,Female,Engineering,Bachelors,1,4.3,4385.0,7.8,No,High,No
E0321,41.0,Male,Sales,Bachelors,0,3.2,2983.0,12.0,No,Excellent,No
E0218,95.0,Female,Engineering,Bachelors,2,1.2,4443.0,15.9,No,Medium,Yes
E0625,39.0,Male,Finance,High School,0,0.1,6538.0,3.8,No,Medium,No
E0089,39.0,Male,Marketing,Bachelors,2,5.9,3964.0,6.7,No,High,No
E0566,41.0,Female,Sales,Bachelors,1,3.2,2971.0,5.2,No,Medium,Yes
E0211,42.0,Female,HR,Bachelors,3+,3.4,2096.0,4.5,no,High,Yes
E0130,28.0,Female,Engineering,High School,1,3.4,2486.0,6.1,Yes,Medium,No
E0539,20.0,Male ,Finance,Bachelors,1,1.4,6853.0,3.7,No,High,No
E0251,32.0,Male,Sales,Bachelors,0,4.8,2667.0,7.9,No,Excellent,No
E0318,29.0,Male,Sales,Masters,3+,4.4,3817.0,5.0,Yes,Low,No
E0237,20.0,Female,Engineering,Masters,1,1.3,5053.0,0.7,No,High,No
E0377,33.0,Female,Engineering,Masters,3+,2.1,3508.0,20.9,Yes,Excellent,No
E0208,25.0,Male,HR,Masters,3+,2.5,7493.0,7.5,No,Excellent,Yes
E0094,34.0,Female ,Engineering,High School,1,1.3,3549.0,1.7,No,High,No
E0529,37.0,Female,Sales,High School,0,1.2,3005.0,0.6,No,Excellent,No
E0481,37.0,Male,Engineering,Masters,1,1.5,6680.0,0.6,No,Medium,No
E0075,36.0,Male,Sales,Bachelors,2,4.6,3538.0,3.1,NO,Medium,No
E0316,33.0,MALE,Finance,Bachelors,0,2.0,12543.0,0.4,No,Medium,Yes
E0501,46.0,Male,Finance,Masters,0,0.1,4838.0,6.6,Yes,Medium,Yes
E0614,39.0,Female,Engineering,High School,0,0.5,5490.0,5.4,Yes,Medium,Yes
E0407,34.0,Female,Marketing,Masters,0,1.6,11332.0,2.4,Yes,High,No
E0156,49.0,Male,Engineering,Bachelors,0,2.0,8187.0,21.9,No,Medium,No
E0678,38.0,Male,HR,Masters,1,3.2,6076.0,8.8,No,Medium,No
E0254,27.0,Female,HR,Bachelors,2,4.3,5863.0,3.1,No,High,Yes
E0300,38.0,MALE,Sales,High School,1,6.8,2827.0,0.0,No,High,No
E0643,51.0,Male,Sales,Bachelors,2,7.5,3302.0,8.9,No,Low,No
E0471,38.0,Male,Engineering,High School,2,4.0,5080.0,1.1,No,High,No
E0517,40.0,Female,Engineering,High School,3+,,3612.0,7.3,No,High,No
E0465,26.0,Male,Sales,Masters,0,18.2,6934.0,4.3,No,Medium,No
E0283,42.0,Male,Sales,Masters,1,1.9,10831.0,8.9,Yes,,No
E0459,38.0,Male,Engineering,Masters,0,5.6,8494.0,,No,Medium,No
E0170,35.0,Male,Sales,Bachelors,2,0.7,7305.0,6.6,No,High,No
E0587,26.0,Female,Marketing,Bachelors,2,12.4,4779.0,5.2,No,Medium,No
E0272,38.0,Female,Finance,Bachelors,0,,4191.0,12.2,No,Medium,No
E0485,35.0,Male,Engineering,Bachelors,3+,16.4,4765.0,11.7,No,Medium,No
E0097,24.0,,Marketing,Bachelors,3+,2.4,9435.0,,Yes,Medium,No
E0151,34.0,male,Marketing,Bachelors,2,2.4,5559.0,137.4,NO,Medium,No
E0412,20.0,Male,Finance,Bachelors,2,1.4,1267.0,3.5,No,High,No
E0145,28.0,Female,Engineering,Bachelors,2,2.3,6126.0,4.0,No,Low,No
E0178,36.0,Female,Marketing,Masters,2,7.9,11662.0,6.3,no,High,No
E0682,40.0,Female,Sales,Masters,3+,2.2,2292.0,5.0,No,Excellent,Yes
E0022,30.0,male,Sales,Bachelors,2,1.4,12527.0,5.1,Yes,Medium,No
E0057,33.0,,Sales,High School,3+,5.2,8116.0,0.6,Yes,Excellent,No
E0255,33.0,Female,Engineering,Bachelors,3+,0.6,4462.0,6.1,Yes,Medium,Yes
E0119,48.0,male,Finance,Bachelors,2,1.6,2495.0,38.8,No,Excellent,No
E0431,27.0,Male,Engineering,Bachelors,0,0.3,4882.0,0.9,Yes,High,No
E0606,39.0,Male,HR,Bachelors,1,5.9,9096.0,1.5,No,Low,No
E0414,41.0,Male,Sales,Bachelors,0,2.8,4874.0,3.7,no,High,No
E0478,26.0,Male,Engineering,Masters,,2.6,2586.0,29.3,No,Excellent,No
E0353,30.0,Male,Sales,Masters,2,10.7,4179.0,2.3,no,Medium,No
E0203,36.0,Male,Engineering,,1,6.1,4594.0,11.8,No,Medium,No
E0487,29.0,Female,Engineering,High School,1,3.5,3219.0,43.3,No,Medium,Yes
E0602,30.0,Female,Marketing,High School,3+,2.0,3393.0,16.0,No,Excellent,Yes
E0462,28.0,Male,Engineering,Masters,2,2.1,5526.0,1.3,No,High,Yes
E0395,41.0,Male,Finance,Bachelors,1,1.6,5718.0,0.5,Yes,Medium,No
E0050,36.0,Female,Sales,Bachelors,1,3.6,3997.0,12.2,No,Low,No
E0552,39.0,Male,Finance,Bachelors,1,20.4,2251.0,22.3,Yes,Excellent,No
E0410,25.0,Female,HR,Masters,3+,4.0,5773.0,40.8,No,Excellent,Yes
E0468,50.0,Male,Sales,PhD,2,7.2,3269.0,17.9,No,High,No
E0397,41.0,FEMALE,Sales,PhD,0,4.5,6667.0,2.3,Yes,Medium,Yes
E0021,34.0,Female,Marketing,Bachelors,0,0.4,2062.0,2.5,No,Medium,No
E0326,41.0,MALE,Finance,PhD,0,0.3,5848.0,17.4,No,High,No
E0525,,Male,Sales,Bachelors,1,0.2,3332.0,0.2,No,,Yes
E0150,36.0,Male,Finance,Bachelors,0,,3749.0,17.2,No,Excellent,No
E0448,32.0,,Marketing,Masters,0,0.8,5439.0,2.9,No,High,No
E0005,20.0,Male,Marketing,High School,3+,0.2,,6.6,,Medium,No
E0399,39.0,,Engineering,Masters,3+,10.6,4200.0,9.9,Yes,Low,No
E0425,28.0,Female,HR,High School,0,6.1,1631.0,6.2,No,Excellent,Yes
E0426,32.0,FEMALE,Engineering,Bachelors,3+,1.6,4118.0,5.5,Yes,Medium,No
E0456,36.0,Female,Engineering,High School,2,3.5,9136.0,8.5,No,Excellent,No
E0679,38.0,Female,Marketing,High School,0,3.2,5739.0,10.0,,Medium,Yes
E0138,42.0,Female,Sales,Masters,3+,2.5,6182.0,2.6,Yes,Excellent,No
E0110,21.0,Male,HR,Masters,2,4.5,6007.0,16.7,No,Medium,No
E0290,34.0,Female,Marketing,Bachelors,0,4.7,9022.0,2.2,No,Medium,No
E0558,27.0,Male,Sales,Bachelors,1,15.0,3189.0,18.2,Yes,High,No
E0434,20.0,Male,Engineering,High School,3+,2.1,4745.0,3.8,No,Medium,No
E0657,28.0,Male,Engineering,Bachelors,0,0.5,5325.0,5.1,No,Medium,No
E0244,23.0,Female,Engineering,Bachelors,0,10.9,3544.0,3.4,No,Medium,No
E0575,37.0,Female,Engineering,PhD,2,1.9,4350.0,26.9,No,High,No
E0613,24.0,Male,Marketing,PhD,0,1.1,7564.0,2.1,No,High,No
E0676,38.0,Female,Finance,Bachelors,1,0.9,2435.0,3.9,No,Low,No
E0105,28.0,Female,,High School,0,5.9,3433.0,0.4,No,High,No
E0331,47.0,female,Sales,Bachelors,1,4.8,3694.0,17.1,No,Medium,Yes
E0064,40.0,Female,Marketing,Bachelors,0,21.7,2833.0,3.0,No,Medium,No
E0062,,Female,Engineering,Masters,1,1.1,2298.0,0.4,yes,Excellent,Yes
E0398,37.0,FEMALE,HR,Bachelors,2,8.3,6175.0,3.2,No,Medium,No
E0686,31.0,Male,HR,Masters,0,5.6,6195.0,4.3,no,High,Yes
E0084,32.0,Male,Engineering,Masters,1,1.5,2920.0,0.0,No,High,No
E0125,42.0,,HR,High School,0,3.1,6040.0,5.4,No,High,No
E0496,42.0,Male ,Engineering,Bachelors,1,0.4,3969.0,4.0,No,Medium,Yes
E0428,49.0,Male,Sales,Masters,0,2.6,3383.0,3.1,No,Excellent,No
E0561,34.0,male,HR,Masters,0,10.8,5245.0,2.0,No,High,No
E0422,28.0,Male,Engineering,Bachelors,0,18.0,,10.6,No,Excellent,No
E0340,40.0,Male,Marketing,Masters,0,1.2,5444.0,22.8,Yes,High,Yes
E0256,41.0,Female,Marketing,Bachelors,1,6.1,6424.0,11.9,YES,Medium,No
E0330,31.0,Male,Engineering,PhD,2,2.6,,26.4,Yes,Low,No
E0531,32.0,Female ,Engineering,PhD,1,2.0,6118.0,13.8,No,Medium,No
E0600,21.0,Male,Sales,Masters,0,3.5,,0.3,Yes,Medium,Yes
E0464,20.0,Male,Engineering,Masters,3+,3.7,,3.6,Yes,Excellent,No
E0680,34.0,male,,PhD,0,13.6,3905.0,21.5,Yes,Medium,No
E0269,35.0,Male,Finance,,0,2.8,1477.0,1.4,No,High,No
E0603,45.0,Male,Sales,,3+,0.0,6422.0,15.0,No,Medium,Yes
E0166,28.0,MALE,Finance,Bachelors,0,0.5,3562.0,11.8,No,High,No
E0181,45.0,Male,HR,Bachelors,2,9.5,,7.1,Yes,High,Yes
E0648,21.0,Female,Sales,Bachelors,0,0.8,5204.0,14.7,yes,Medium,Yes
E0012,41.0,Female,Sales,Bachelors,2,1.2,3496.0,0.4,YES,Medium,No
E0116,31.0,Female,Engineering,PhD,3+,2.1,3027.0,2.7,Yes,High,Yes
E0396,36.0,Male,Sales,Bachelors,0,8.3,7186.0,5.0,No,Medium,Yes
E0388,39.0,Male ,Engineering,Masters,3+,16.3,7153.0,1.9,Yes,Medium,Yes
E0408,42.0,MALE,Engineering,Bachelors,2,10.2,7719.0,6.7,No,Medium,No
E0463,22.0,Female,Finance,Masters,3+,7.8,1329.0,2.9,No,High,No
E0199,35.0,Male,Sales,High School,1,2.3,3020.0,6.5,Yes,Excellent,Yes
E0568,30.0,FEMALE,Sales,Bachelors,1,1.8,7988.0,22.3,No,Excellent,No
E0696,29.0,Male,Engineering,Masters,1,0.8,5622.0,5.0,No,Medium,No
E0641,23.0,Female,Marketing,Masters,1,3.6,7626.0,12.6,No,Medium,No
E0058,47.0,Male ,Sales,Masters,0,2.7,6256.0,2.8,No,Medium,No
E0536,40.0,Male,Sales,Masters,1,,4893.0,,Yes,Medium,Yes
E0281,39.0,Female,Finance,Bachelors,2,0.7,3976.0,1.3,Yes,Excellent,No
E0533,31.0,Male,Engineering,Bachelors,0,2.7,3028.0,7.4,Yes,Medium,Yes
E0275,48.0,Male,Engineering,Masters,3+,0.3,9521.0,2.4,No,Low,No
E0299,21.0,Female,Engineering,Masters,1,4.2,9564.0,5.2,No,High,No
E0055,31.0,Male,Finance,High School,3+,3.1,3711.0,18.2,YES,Low,Yes
E0298,32.0,Male,Marketing,Masters,2,1.9,2946.0,24.4,No,Excellent,No
E0185,38.0,Female,Engineering,Bachelors,0,5.0,3079.0,,No,Excellent,No
E0467,33.0,Female,Finance,Masters,1,6.6,7149.0,0.1,No,Medium,No
E0071,25.0,Male ,Finance,Masters,1,3.1,2579.0,6.4,Yes,High,No
E0555,34.0,Female,Marketing,Masters,0,3.1,6447.0,26.0,Yes,Low,No
E0560,28.0,Male,Marketing,Bachelors,1,3.1,14675.0,2.2,No,Excellent,No
E0393,31.0,Female ,Sales,Bachelors,1,2.2,3914.0,4.0,No,High,No
E0067,32.0,Male,Sales,Masters,1,0.1,1662.0,2.5,No,Medium,No
E0074,39.0,Male,Sales,Bachelors,0,2.9,6340.0,0.3,No,High,No
E0124,46.0,Female,HR,Bachelors,2,3.2,6513.0,67.0,,High,No
E0308,45.0,male,Sales,Masters,0,5.2,1225.0,2.6,No,Low,No
E0366,47.0,Female,HR,Bachelors,2,0.1,5738.0,9.3,No,High,Yes
E0596,32.0,male,Finance,High School,0,4.2,14333.0,0.4,NO,High,No
E0557,29.0,Male,HR,Bachelors,3+,5.2,5221.0,4.3,no,Excellent,No
E0378,20.0,Female,Finance,Bachelors,0,3.7,2632.0,22.1,No,Medium,No
E0700,33.0,Male,Engineering,Bachelors,1,0.2,3326.0,9.5,No,High,No
E0570,37.0,Male,Engineering,High School,0,1.9,6494.0,6.8,Yes,Excellent,Yes
E0098,27.0,Female,Finance,Masters,3+,1.6,3830.0,3.7,No,High,No
E0345,48.0,Female,Sales,Masters,0,9.2,3996.0,1.6,No,Excellent,No
E0054,32.0,Male,Marketing,Masters,1,0.9,4156.0,8.6,no,Medium,No
E0592,37.0,Male,Sales,Bachelors,2,4.9,1765.0,14.0,Yes,High,Yes
E0654,26.0,Female,HR,Masters,1,0.3,5679.0,13.8,No,Medium,No
E0669,31.0,Male,Engineering,High School,3+,8.8,6621.0,17.0,No,Excellent,No
E0231,23.0,Male,Marketing,PhD,0,2.8,7062.0,5.0,,High,No
E0292,36.0,Female,Engineering,Bachelors,1,2.3,7248.0,2.2,No,,Yes
E0147,30.0,Male,Sales,PhD,0,13.8,17185.0,8.6,No,Medium,No
E0645,32.0,MALE,Engineering,Bachelors,2,15.8,2011.0,0.6,No,High,No
E0675,42.0,Female,Marketing,Bachelors,1,2.7,12932.0,5.5,YES,Medium,No
E0189,24.0,Male,Sales,High School,1,7.3,1704.0,8.0,No,High,No
E0406,33.0,Female,Engineering,Masters,1,1.3,3735.0,0.7,No,High,No
E0087,31.0,Female,Marketing,Masters,0,1.3,5667.0,129.3,Yes,High,No
E0220,29.0,FEMALE,Sales,High School,1,2.9,3516.0,19.5,No,High,No
E0639,40.0,Male,Sales,Bachelors,1,1.7,5970.0,12.2,No,Excellent,No
E0553,37.0,Male,Sales,Bachelors,1,3.8,6733.0,12.4,No,High,No
E0579,33.0,Female,Engineering,High School,0,3.4,11087.0,7.6,Yes,High,Yes
E0045,36.0,Female,Sales,Bachelors,0,2.2,2404.0,14.5,Yes,Low,Yes
E0175,25.0,Female,Sales,Bachelors,0,0.8,5608.0,0.3,No,High,No
E0528,,Male,Sales,Masters,3+,0.2,1826.0,0.5,Yes,Medium,Yes
E0144,37.0,Male ,Sales,Masters,0,6.2,2553.0,26.7,No,High,No
E0482,46.0,Female,Engineering,Bachelors,1,0.2,2110.0,4.1,No,High,No
E0295,33.0,FEMALE,Finance,Bachelors,0,0.6,,2.4,No,High,No
E0140,58.0,Male,Sales,Bachelors,0,0.1,10071.0,0.4,Yes,High,No
E0163,52.0,Male,Sales,Masters,0,1.5,3436.0,4.2,Yes,Medium,No
E0296,36.0,Male,Engineering,Bachelors,1,4.9,4719.0,6.8,No,High,No
E0370,42.0,Male,Sales,Bachelors,1,0.8,3126.0,2.3,Yes,High,No
E0540,29.0,Male,Finance,Masters,0,8.6,3458.0,10.2,No,High,No
E0349,22.0,Female ,Engineering,Bachelors,0,9.4,5179.0,129.9,,Medium,No
E0204,40.0,Male,Engineering,Bachelors,0,2.9,9446.0,7.2,Yes,Medium,Yes
E0010,28.0,Male,Marketing,Bachelors,2,3.4,3113.0,4.6,No,Medium,No
E0572,34.0,Male,Sales,High School,2,0.1,3814.0,24.8,No,Low,No
E0301,49.0,Male,Engineering,Bachelors,1,6.5,4028.0,5.9,No,Excellent,No
E0263,37.0,Male,Sales,High School,0,2.3,11365.0,3.9,YES,Medium,No
E0297,37.0,Female,Sales,Masters,1,3.5,5497.0,4.3,No,Medium,No
E0164,28.0,Male,Finance,High School,0,0.1,12210.0,0.6,Yes,High,No
E0486,34.0,Female,Sales,High School,1,4.0,8847.0,3.8,No,Medium,No
E0550,90.0,Male,Marketing,Bachelors,0,0.2,3838.0,1.4,Yes,High,Yes
E0307,32.0,Female,HR,Bachelors,3+,0.9,11460.0,2.8,No,Low,No
E0437,31.0,Female,Sales,High School,1,3.4,5673.0,0.2,NO,,No
E0100,28.0,Female,Marketing,High School,3+,6.2,4863.0,1.0,No,Medium,No
E0116,31.0,Female,Engineering,PhD,3+,2.1,3027.0,2.7,Yes,High,Yes
E0361,34.0,Female,Finance,Bachelors,1,3.4,3373.0,18.4,yes,Low,Yes
E0667,22.0,Male,HR,Masters,0,,3667.0,9.5,Yes,High,Yes
E0294,20.0,Male,Sales,Bachelors,1,0.1,4867.0,12.6,no,High,No
E0072,26.0,Male ,Finance,Masters,1,3.2,13221.0,3.2,yes,Medium,No
E0167,42.0,Male,Engineering,Masters,3+,,6461.0,8.7,Yes,Low,No
E0490,40.0,Male,Sales,Bachelors,1,0.8,3998.0,2.5,No,High,No
E0131,32.0,Female,Engineering,PhD,0,2.9,3090.0,5.7,No,High,Yes
E0137,38.0,Male,Finance,Masters,1,,2917.0,20.4,No,High,Yes
E0017,38.0,Male,Sales,PhD,0,10.0,4008.0,10.5,No,High,No
E0114,23.0,Male ,Engineering,Bachelors,1,2.1,2456.0,2.2,No,High,No
E0008,32.0,Male,Sales,Masters,1,1.5,6793.0,8.3,No,High,No
E0196,28.0,Male,Sales,Masters,0,2.3,3522.0,7.3,No,Excellent,No
E0375,39.0,Male,Engineering,Bachelors,0,1.0,3665.0,22.4,No,Medium,No
E0174,25.0,Female,Sales,,0,0.6,6203.0,9.8,Yes,Medium,No
E0608,39.0,Female,Finance,PhD,0,2.5,2106.0,1.3,No,Medium,No
E0610,39.0,Male,Sales,PhD,0,,5755.0,21.9,No,Medium,Yes
E0068,31.0,Male ,HR,High School,1,2.8,2346.0,8.6,Yes,High,Yes
E0205,20.0,Female,Engineering,Masters,0,2.7,3439.0,6.1,,High,No
E0372,46.0,Female,Sales,Masters,0,2.2,11207.0,2.5,No,Medium,No
E0420,46.0,Male,Engineering,High School,0,5.3,5882.0,23.3,Yes,Medium,No
E0335,35.0,Female,Sales,Bachelors,1,6.4,4953.0,7.1,No,High,No
E0195,26.0,Male,Finance,High School,0,2.0,7448.0,1.5,Yes,Medium,No
E0484,40.0,,Sales,Bachelors,3+,,,1.6,no,Low,No
E0631,48.0,Male,Finance,High School,2,3.6,3104.0,16.4,Yes,Excellent,Yes
E0200,34.0,Female,HR,PhD,2,1.3,3161.0,15.4,No,Medium,Yes
E0383,22.0,Female,Engineering,Bachelors,0,2.9,5789.0,13.7,Yes,Medium,No
E0305,35.0,Female,Sales,PhD,1,5.1,3584.0,14.5,NO,Medium,Yes
E0504,23.0,female,Engineering,Bachelors,,6.5,4957.0,0.1,yes,High,Yes
E0341,20.0,MALE,Marketing,Bachelors,1,3.1,4443.0,3.6,Yes,Medium,Yes
E0277,29.0,,Engineering,High School,3+,0.3,,5.5,No,Medium,No
E0267,36.0,Male,HR,Masters,0,17.3,5994.0,0.5,Yes,Medium,Yes
E0446,,Male,Marketing,Bachelors,1,4.3,12206.0,17.6,Yes,Medium,Yes
E0230,33.0,Female,HR,Masters,2,5.0,2875.0,8.2,no,Medium,No
E0537,31.0,Male,Sales,Bachelors,0,6.0,7718.0,4.2,No,High,No
E0509,31.0,Male,Marketing,High School,0,3.3,,1.3,No,High,No
E0513,36.0,Female,Marketing,Bachelors,1,4.7,3573.0,3.3,Yes,High,No
E0663,28.0,Male,Finance,Bachelors,0,5.6,2466.0,6.4,No,High,No
E0450,38.0,Male,Finance,Masters,1,0.4,3052.0,3.5,No,,No
E0511,23.0,Male,HR,High School,2,0.8,2510.0,9.7,No,High,Yes
E0477,44.0,Male,Finance,Bachelors,1,4.9,2296.0,1.3,No,Excellent,Yes
E0223,36.0,Male,Marketing,High School,1,4.9,5781.0,16.7,No,High,No
E0106,33.0,Male,Marketing,Bachelors,0,0.3,4604.0,18.3,No,High,Yes
E0573,37.0,Female,Finance,Bachelors,3+,6.6,5728.0,22.7,No,Medium,No
E0201,38.0,Male,Finance,Masters,1,,6768.0,0.7,no,High,No
E0690,32.0,Male,Marketing,Masters,1,5.7,5126.0,12.3,NO,Medium,No
E0576,23.0,Male,Engineering,High School,0,4.4,6235.0,5.4,Yes,Medium,No
E0623,37.0,Male,Sales,Bachelors,1,3.9,3170.0,4.8,No,Excellent,No
