Age,Experience,Salary
22,1,32940
26,3,39047
25,3,36834
52,12,73046
50,5,79626
49,0,21465
40,6,29781
49,9,58982
28,1,36574
57,9,79381
41,0,49377
58,21,88789
27,6,56929
41,14,81262
49,12,73109
41,8,69652
39,5,54572
28,1,29662
36,9,64774
31,6,48827
33,0,38116
48,11,86075
46,7,30390
45,4,36688
36,11,45755
59,18,84341
25,3,34845
35,10,39412
26,5,30378
35,12,50770
59,22,125389
36,14,87021
57,17,80559
41,20,75337
49,22,75110
39,12,41002
32,10,53997
51,15,65726
59,25,100282
32,3,23598
52,30,96256
32,7,51784
49,22,93295
52,14,81610
39,16,55254
50,2,63856
32,1,29597
25,2,43694
25,3,37772
39,15,52783
57,15,78106
26,3,42984
39,10,67656
49,27,96208
29,5,62681
50,12,83690
33,12,56620
53,3,66501
44,23,110406
43,3,74026
28,2,23464
40,16,60682
55,25,116319
22,1,19501
51,23,76230
41,13,61266
50,10,73043
47,0,46671
38,2,37393
34,4,37909
46,1,40452
27,3,28746
44,18,105580
25,4,43270
47,13,81941
46,22,80931
25,4,37469
51,26,88937
38,8,24179
52,10,52864
23,2,12973
28,1,12000
41,8,43756
29,0,51199
34,11,58067
47,17,93987
27,0,38832
48,6,68791
26,3,27789
28,4,48087
44,19,88745
52,8,58880
28,7,53914
33,5,53894
58,29,101205
60,8,57927
44,0,31590
39,1,45138
35,5,52424
45,23,78390
45,1,48619
33,4,52146
22,0,37818
27,6,63323
59,24,114824
38,13,52985
40,14,88403
40,13,60028
52,24,107138
24,0,32616
25,4,34754
32,8,30108
40,14,66141
48,11,49687
41,16,84108
39,7,73102
58,1,47837
28,7,50824
44,5,46095
43,2,41158
40,12,73894
53,7,64238
32,10,76276
59,15,77513
34,0,50792
43,21,84069
42,11,73749
55,9,64334
39,12,63305
33,6,47514
22,0,20367
36,12,69745
54,13,84003
22,1,39323
56,32,130244
43,14,87692
27,4,36601
33,3,47977
43,5,46617
34,5,48080
26,5,35003
47,14,92541
48,9,69164
26,4,37784
32,10,69723
31,9,26853
47,8,38131
50,21,97350
50,17,81326
58,16,87405
51,12,56383
34,1,40321
26,1,59042
45,13,79790
57,31,112736
60,31,107531
30,1,33065
31,7,23750
23,0,34192
27,4,51246
43,7,38793
43,10,55163
36,11,46110
34,5,36216
54,27,102042
39,10,35287
53,32,117071
59,22,104946
34,4,42987
29,6,16331
59,14,69543
46,13,85395
33,1,12000
46,3,48430
42,12,51840
57,6,75355
31,10,46599
60,30,115847
58,25,107386
29,6,68135
28,4,39365
42,1,50713
23,1,15079
33,6,63185
38,16,61274
59,7,62171
60,17,87333
27,2,18745
56,4,64145
25,0,44110
51,11,74015
54,2,37333
56,2,56314
30,3,50304
56,7,44264
26,3,25703
42,0,54919
40,6,57041
34,6,54544
22,1,54514
52,20,93023
35,13,70795
47,9,96629
37,7,50934
36,6,41425
56,31,115134
25,4,44968
50,28,94079
51,23,79711
36,8,82318
32,6,52122
22,1,23413
58,10,84591
58,12,75890
31,9,49865
23,1,39647
26,1,19497
24,2,39632
54,11,95555
56,32,117394
27,6,40185
51,9,60815
28,4,36876
36,15,64152
45,18,74366
50,6,71796
56,21,71201
23,1,43244
29,5,39744
32,0,41923
34,4,32476
60,30,126944
52,7,78948
34,4,57515
59,11,57923
41,3,59049
41,3,53958
38,6,33137
27,6,44408
58,0,59974
22,0,37073
28,0,36727
30,5,48495
32,3,60483
27,5,57612
22,1,12000
48,21,82591
59,22,93924
26,2,15775
33,11,59030
41,10,76685
58,34,103761
49,28,103737
51,18,72110
44,16,66537
38,4,66529
29,7,41389
55,23,100447
53,29,81845
22,0,52748
49,22,96132
25,2,33910
50,5,65907
54,5,44882
27,3,53490
38,5,46712
26,0,30751
44,10,57900
58,23,90032
25,1,42636
37,16,72771
59,28,114521
33,6,48794
27,6,50858
41,9,54874
41,2,74057
47,0,29085
34,13,77331
59,34,133915
42,16,62974
33,1,66651
59,10,86246
58,1,69054
41,1,45836
22,0,27793
45,14,69187
43,1,51586
27,6,61514
46,11,69176
54,8,56263
26,3,48493
50,23,102454
27,2,45356
51,1,61446
38,0,38349
22,1,21052
59,4,53082
28,5,23974
45,9,65543
29,6,45099
58,2,53920
50,26,61333
53,23,78532
38,8,69450
40,4,42224
46,25,96527
52,9,50912
55,17,101364
22,0,28672
47,6,62180
26,2,64709
33,1,58097
54,0,49121
31,3,34981
53,3,53593
40,8,63519
31,9,51637
35,2,38357
42,0,62006
51,3,54729
45,12,95695
58,9,72889
55,17,105524
51,0,54988
45,8,72456
33,5,38405
38,7,43955
26,3,44116
36,12,73663
58,16,84883
38,15,53163
26,3,22277
47,7,43374
59,8,49489
55,11,74614
32,7,63501
39,4,49339
42,20,53275
31,5,43411
32,10,53446
31,7,74452
60,12,61114
51,7,58612
54,25,118270
53,10,75500
59,8,77460
26,5,43575
56,17,88759
24,0,41131
40,9,49486
45,11,76837
35,12,44624
27,4,45040
29,1,39245
54,5,54404
34,8,52928
34,0,31330
58,11,62540
27,0,29657
57,0,41652
57,33,118174
45,2,36299
28,0,43144
28,7,33022
33,2,34904
44,19,72505
27,0,49802
39,2,49863
26,0,30659
43,16,79885
22,1,12000
49,13,72182
24,0,55770
29,0,36888
28,4,42615
54,7,71978
24,2,46147
38,12,39230
45,21,64112
42,10,64923
48,0,40021
53,9,84044
37,14,62318
54,18,61986
34,8,37984
60,16,52804
41,3,46290
50,26,94539
56,27,97706
52,31,120147
55,29,120082
42,6,53155
23,0,12000
41,5,60107
29,8,56364
56,20,93913
31,4,55678
30,9,38222
31,6,71605
47,24,79587
44,23,96191
59,2,39652
38,6,41237
33,9,72496
23,2,31569
22,0,40479
36,5,52043
58,19,88541
42,17,91366
56,4,58560
25,3,16531
25,1,24661
54,7,72014
26,3,43346
24,1,14795
37,10,50208
58,11,68419
48,23,85614
25,0,15989
54,29,97460
54,1,45857
53,24,104558
57,12,86209
31,4,42150
60,0,52296
34,9,56679
53,5,51301
44,15,59038
52,23,81517
46,21,77382
47,19,68138
46,7,61745
52,23,101557
50,24,74155
27,2,37802
54,4,57361
42,19,82698
34,2,42245
42,13,50357
59,8,55551
55,4,61053
54,26,111945
40,2,20030
52,21,93349
37,11,74975
48,1,48564
46,4,61002
31,8,42663
32,6,46768
24,0,12349
27,6,16568
38,4,60113
40,0,31180
28,7,41734
38,0,24963
45,13,52980
31,10,52614
35,8,45145
36,9,60936
41,8,63530
36,2,47650
50,17,83463
34,12,79333
38,1,30589
36,14,64741
29,3,54292
48,15,90774
31,1,21439
33,8,48752
52,5,76697
59,9,78597
48,20,86943
57,1,54088
55,15,75894
40,11,66259
52,4,55572
34,4,45489
39,6,54043
42,14,61463
59,35,125686
55,29,140671
41,3,27776
47,0,51788
29,0,26178
53,19,93229
43,3,51059
42,5,62542
51,26,111606
46,22,89109
24,3,50785
33,3,15368
28,4,60885
50,18,86901
23,0,44034
29,4,27861
45,13,59931
49,11,70851
41,15,70496
55,23,98297
57,19,102114
27,5,21717
59,27,116586
45,14,71799
46,6,55555
25,3,20247
46,18,85637
50,29,73231
44,3,58981
25,2,18195
42,20,81041
58,18,86570
50,28,114434
27,0,31756
59,1,49770
59,28,100621
28,2,53475
53,17,89136
37,7,48872
45,10,61663
39,17,54094
52,3,61462
60,27,84482
53,29,113322
58,23,98543
58,14,109443
25,0,19298
31,7,48068
50,14,96779
45,3,66197
23,1,24545
25,4,42388
42,5,53424
46,4,57783
28,5,35216
28,1,35328
27,6,25523
44,20,83421
22,1,37600
44,21,80871
40,4,30819
40,4,62062
48,9,69174
42,10,53688
50,26,93433
51,22,72292
57,23,83995
53,28,96046
42,14,84341
41,7,48626
31,4,51583
45,12,61640
27,0,36875
58,26,100703
54,22,102877
26,4,33982
52,17,63130
26,4,23817
50,28,94017
25,2,21111
41,9,64823
47,2,45911
50,23,119895
38,16,49547
57,25,102344
52,27,86465
30,8,44479
48,22,89897
50,15,49096
35,1,44142
50,0,72835
57,7,62059
53,14,80418
51,23,104399
46,11,65033
32,0,30428
53,6,35591
36,15,74892
42,21,80842
34,5,35648
34,11,60119
28,5,36596
59,33,109359
27,6,51975
25,3,21839
58,14,93368
43,14,53528
39,6,45148
50,10,91075
36,9,69928
26,3,39771
50,17,69314
28,3,33649
43,9,62179
59,0,56750
58,21,92310
36,9,56030
52,29,101027
45,12,50796
40,9,53002
27,0,44875
36,3,29180
47,9,61825
60,13,70563
22,0,31736
49,11,64436
55,26,118029
59,4,69579
38,5,34858
26,0,41255
32,3,33504
55,23,87976
56,1,59766
46,8,55699
26,0,43914
26,5,32906
40,14,60773
44,5,46924
23,0,24312
48,2,65390
43,10,70646
22,1,52719
25,2,63312
39,16,58731
50,10,68845
54,9,54886
38,8,46669
33,2,34139
59,35,106614
39,3,35077
34,6,47869
39,9,43899
22,0,40506
33,6,37887
42,10,96115
57,9,65683
50,3,56264
52,1,37656
43,0,65573
26,2,50234
37,1,46263
60,34,102038
23,0,33628
56,23,82143
48,18,98548
33,6,58610
52,28,102945
54,3,28963
23,0,19299
26,1,43253
47,3,67855
60,10,88310
22,0,12000
47,20,87519
27,2,49686
47,23,69400
46,20,83105
25,4,42986
48,2,48591
56,35,94974
55,21,87392
23,2,30772
31,3,40323
31,10,47938
39,11,56784
27,0,33424
55,14,84009
52,4,54947
53,31,102984
29,2,40008
22,0,12000
57,19,94824
33,5,47093
47,2,51976
57,29,118629
23,2,12000
22,1,12000
22,1,35486
28,3,39915
24,2,37442
53,17,77154
45,4,61672
60,2,71792
53,8,72308
59,16,81970
31,1,13208
33,1,49131
55,29,120361
31,4,51635
24,2,24844
48,14,81886
53,24,105626
59,26,121806
58,10,63087
26,5,39483
52,11,80167
54,28,103889
49,11,55692
53,3,62475
54,25,104744
39,0,43356
23,2,37335
39,0,39196
29,1,54839
26,3,27792
26,5,35152
49,11,69232
41,2,57847
43,5,36132
51,27,83576
43,16,49447
46,2,51192
25,1,20880
55,9,65085
39,3,55637
28,6,37701
53,20,90875
50,5,55408
24,2,43465
29,3,46402
22,0,22097
32,5,44376
25,0,45025
49,7,66621
42,19,61836
60,25,109867
51,4,44885
45,21,101250
41,12,77589
24,3,40679
24,2,37287
46,8,59092
22,1,40342
23,1,28451
30,7,51427
56,8,79063
39,6,46358
49,7,54506
38,5,36268
28,1,23626
36,0,18259
25,4,48458
52,2,76707
29,7,65004
36,0,20687
60,27,114298
45,8,77965
39,9,53018
43,6,57117
52,15,54305
31,4,47101
46,13,57837
56,14,81796
44,12,48666
39,15,75814
27,3,51594
31,3,32702
58,4,49157
43,8,33628
33,1,36703
38,3,40021
44,22,66788
42,1,51636
49,13,67300
32,10,42491
47,25,86245
39,2,58756
58,5,71835
28,2,36640
27,3,46729
40,19,63269
41,4,51288
48,4,57568
37,4,42462
57,31,115926
40,0,33635
27,2,43618
26,0,39822
59,5,30294
27,6,58984
58,0,19028
32,3,35407
25,4,52004
33,7,46893
45,1,30706
38,8,42875
52,31,119523
45,10,41442
37,8,68848
46,13,69939
59,23,83391
38,3,40003
27,5,30693
37,16,80095
54,4,68789
30,8,29770
59,29,103657
44,17,66042
45,9,78222
34,6,33399
57,30,128151
23,0,30700
33,10,42157
38,16,62273
40,13,56781
40,6,38505
27,3,40438
30,0,21265
25,4,13536
44,8,55644
35,0,17866
44,19,70974
44,15,61891
49,18,71245
43,1,70912
47,20,84577
44,15,75744
47,21,64383
46,21,77152
34,2,44984
31,2,28006
52,29,114497
35,7,37668
43,10,59664
29,2,31867
38,11,63372
42,16,65514
46,0,43949
42,12,63166
36,15,58387
59,10,80121
41,5,55561
