Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001073,Female,Yes,0,Graduate,No,3136,2051,194,120,,Urban,N
LP001074,Male,No,3+,Graduate,No,6450,2316,293,360,0,Semiurban,N
LP001075,Male,Yes,0,Graduate,Yes,2972,1964,211,360,1,Urban,Y
LP001076,Male,Yes,3+,Graduate,No,9622,0,398,360,1,Semiurban,Y
LP001077,Male,No,0,Graduate,No,2540,0,92,360,1,Semiurban,Y
LP001078,Male,Yes,,Graduate,No,7691,0,291,360,1,Rural,Y
LP001079,Male,No,0,Graduate,No,3148,0,132,360,,Semiurban,Y
LP001080,Male,Yes,1,Not Graduate,No,10467,0,377,360,1,Semiurban,Y
LP001081,Male,No,0,Graduate,No,5520,0,238,180,1,Urban,Y
LP001082,Male,Yes,0,Graduate,Yes,2678,0,83,120,0,Urban,N
LP001083,Female,Yes,1,Graduate,No,3344,815,163,360,1,Urban,Y
LP001084,Male,Yes,2,Graduate,No,6012,2143,281,360,,Rural,Y
LP001085,Male,Yes,0,Graduate,No,6793,1141,294,360,1,Urban,Y
LP001086,Male,No,0,Graduate,,4098,1532,183,240,0,Rural,N
LP001087,Male,Yes,0,Graduate,No,4316,3741,262,180,0,Urban,N
LP001088,Male,Yes,2,Graduate,No,5951,0,285,360,1,Semiurban,Y
LP001089,Male,No,0,Graduate,No,4489,2810,284,360,1,Semiurban,Y
LP001090,Male,No,2,Graduate,No,2364,0,103,120,1,Semiurban,Y
LP001091,Male,Yes,0,Not Graduate,No,2934,6016,267,240,1,Semiurban,Y
LP001092,Male,Yes,0,Not Graduate,No,4702,0,209,,,Semiurban,Y
LP001093,Male,No,0,Graduate,No,7310,5000,446,240,1,Rural,Y
LP001094,Male,No,0,Not Graduate,No,8753,0,329,360,1,Semiurban,Y
LP001095,Male,No,2,Graduate,No,6008,2825,309,360,1,Urban,Y
LP001096,Male,No,0,Not Graduate,No,4814,1196,177,180,,Urban,Y
LP001097,Male,No,0,Not Graduate,No,5925,2188,,360,,Semiurban,N
LP001098,Male,Yes,3+,Graduate,Yes,3134,1506,215,360,1,Semiurban,N
LP001099,Male,Yes,3+,Graduate,,3948,2033,211,120,1,Semiurban,Y
LP001100,Female,Yes,2,Not Graduate,No,2919,0,64,240,,Semiurban,Y
LP001101,Female,No,0,Not Graduate,No,2412,588,126,360,0,Semiurban,N
LP001102,Male,No,,Not Graduate,No,4915,3917,272,360,1,Rural,Y
LP001103,Male,Yes,2,Graduate,No,4598,0,167,180,1,Semiurban,Y
LP001104,Female,Yes,0,Graduate,No,5764,0,246,360,1,Semiurban,Y
LP001105,Male,Yes,0,Not Graduate,No,5409,1428,258,36,1,Semiurban,Y
LP001106,Male,No,2,Graduate,No,4718,2478,238,360,0,Rural,N
LP001107,Male,Yes,0,Graduate,No,5434,1169,230,360,1,Semiurban,Y
LP001108,Male,Yes,0,Graduate,Yes,4150,516,182,360,1,Rural,Y
LP001109,Male,Yes,3+,Graduate,No,5094,2551,257,240,1,Urban,Y
LP001110,Female,Yes,1,Graduate,No,3051,2728,163,60,1,Semiurban,Y
LP001111,Male,Yes,0,Graduate,,4996,0,192,360,1,Semiurban,Y
LP001112,Male,Yes,0,Graduate,No,5715,1004,262,360,1,Semiurban,Y
LP001113,Male,Yes,0,Graduate,No,3130,2108,,180,1,Urban,Y
LP001114,Male,Yes,0,Not Graduate,No,4330,0,138,360,1,Semiurban,Y
LP001115,Male,Yes,2,Graduate,No,3195,1079,180,,0,Urban,N
LP001116,Female,Yes,2,Graduate,No,3338,0,65,120,0,Rural,N
LP001117,Male,Yes,0,Graduate,No,2550,3315,174,180,0,Urban,N
LP001118,Male,No,0,Not Graduate,No,7477,1607,324,120,1,Urban,Y
LP001119,Male,Yes,2,Graduate,No,6833,1527,,360,1,Semiurban,Y
LP001120,Male,Yes,0,Graduate,Yes,5388,6456,391,360,1,Semiurban,Y
LP001121,Male,Yes,0,Graduate,No,10275,2469,480,300,0,Urban,N
LP001122,Male,Yes,0,Graduate,No,3885,2449,,360,1,Semiurban,Y
LP001123,Male,Yes,1,Graduate,No,16553,1601,480,360,,Semiurban,Y
LP001124,Male,Yes,0,Not Graduate,Yes,3818,1397,193,120,1,Urban,Y
LP001125,Male,No,1,Graduate,No,4745,0,147,360,1,Semiurban,Y
LP001126,Male,Yes,0,Graduate,No,3537,0,189,120,0,Semiurban,N
LP001127,Male,Yes,1,Not Graduate,Yes,5002,2615,229,360,1,Rural,N
LP001128,Male,Yes,0,Graduate,,6161,0,257,84,1,Urban,Y
LP001129,Male,Yes,0,Not Graduate,No,4019,0,171,360,,Urban,N
LP001130,Male,Yes,0,Graduate,No,9410,0,383,360,1,Rural,Y
LP001131,Male,No,0,Graduate,No,4711,786,196,300,1,Semiurban,Y
LP001132,Female,No,0,,No,4778,0,212,,0,Urban,N
LP001133,Male,Yes,0,Graduate,No,2810,1011,99,360,1,Rural,Y
LP001134,Male,Yes,0,Graduate,No,5107,5784,347,360,1,Urban,Y
LP001135,Male,Yes,0,Not Graduate,No,3983,3379,230,180,,Rural,N
LP001136,Male,Yes,3+,Graduate,No,3217,0,112,120,1,Semiurban,Y
LP001137,Female,No,0,Graduate,No,2983,806,150,360,1,Rural,Y
LP001138,Male,Yes,2,Graduate,No,14077,0,480,360,,Rural,Y
LP001139,Male,Yes,,Graduate,Yes,3757,1505,179,360,0,Urban,N
LP001140,Male,No,0,Graduate,No,2196,0,107,84,1,Rural,Y
LP001141,Male,Yes,1,Graduate,No,3090,6418,285,84,1,Urban,Y
LP001142,Male,Yes,2,Graduate,No,4133,0,143,84,,Semiurban,Y
LP001143,Female,No,1,Graduate,No,5410,2657,,360,1,Semiurban,Y
LP001144,Male,Yes,0,Graduate,No,5430,0,210,360,1,Urban,Y
LP001145,Male,Yes,0,Not Graduate,No,5736,3082,289,180,0,Urban,N
LP001146,Male,Yes,0,Graduate,Yes,3165,1590,177,180,1,Urban,Y
LP001147,Male,No,0,Not Graduate,No,4931,0,203,360,0,Urban,N
LP001148,Male,Yes,3+,Graduate,Yes,2852,0,74,360,1,Urban,Y
LP001149,Male,Yes,3+,Not Graduate,Yes,3201,0,87,360,1,Rural,Y
LP001150,Male,Yes,0,Graduate,Yes,2799,0,123,360,1,Semiurban,Y
LP001151,Female,Yes,1,Graduate,No,2478,2229,134,360,1,Rural,Y
LP001152,Female,Yes,0,Not Graduate,Yes,6829,4309,388,360,0,Rural,Y
LP001153,Male,Yes,2,Graduate,,5767,0,250,360,1,,Y
LP001154,Male,Yes,0,Graduate,No,6565,1148,260,300,1,Semiurban,Y
LP001155,Male,Yes,3+,Graduate,No,4306,0,137,180,1,Rural,Y
LP001156,Male,No,2,Graduate,No,6000,2322,340,300,0,Semiurban,N
LP001157,Male,Yes,0,Graduate,,1915,2079,137,360,1,Semiurban,Y
LP001158,Male,No,,Graduate,,6238,1512,277,360,1,Rural,Y
LP001159,Male,Yes,2,Graduate,No,4581,1087,187,360,1,Semiurban,Y
LP001160,Male,Yes,0,Graduate,No,5609,935,235,360,0,Semiurban,Y
LP001161,,,0,Graduate,Yes,5019,1941,220,360,1,Rural,Y
LP001162,Female,No,2,Graduate,No,2713,0,131,180,,Semiurban,Y
LP001163,Male,Yes,0,Graduate,No,2156,1324,100,180,0,Rural,N
LP001164,Male,No,0,Graduate,No,3070,5056,277,120,1,Urban,Y
LP001165,Male,Yes,0,Graduate,No,5455,1902,256,360,,Urban,Y
LP001166,Male,Yes,0,Graduate,No,5771,0,205,360,1,Semiurban,Y
LP001167,Female,No,3+,Graduate,No,2286,0,81,360,1,Urban,Y
LP001168,Male,Yes,0,Graduate,No,2720,2314,101,360,1,Rural,Y
LP001169,Male,No,0,Graduate,No,3055,1933,168,360,1,Urban,Y
LP001170,Female,Yes,0,Graduate,No,3602,722,158,360,1,Semiurban,Y
LP001171,Male,No,3+,Graduate,,2292,4708,230,360,1,Urban,N
LP001172,Male,Yes,0,Graduate,,2231,1843,88,360,1,Rural,Y
LP001173,Male,Yes,2,Not Graduate,No,2922,0,146,60,1,Semiurban,Y
LP001174,Female,Yes,1,Graduate,Yes,4398,1273,228,60,1,Urban,Y
LP001175,Male,Yes,2,Graduate,No,2487,0,131,360,1,Urban,Y
LP001176,Male,Yes,3+,Graduate,No,4015,0,159,120,1,Semiurban,Y
LP001177,Male,Yes,2,Graduate,No,6811,0,298,360,1,Rural,Y
LP001178,Female,Yes,3+,Graduate,No,2355,2409,118,180,1,Rural,Y
LP001179,Female,Yes,0,Graduate,Yes,3855,2490,234,120,1,Urban,Y
LP001180,Male,Yes,,Graduate,,6709,4514,362,180,1,Semiurban,Y
LP001181,Female,No,0,Graduate,,3504,0,99,180,0,Urban,N
LP001182,Female,No,0,Not Graduate,No,3268,3163,182,360,1,Semiurban,Y
LP001183,Male,No,2,Not Graduate,No,7141,851,307,240,1,Semiurban,Y
LP001184,Male,Yes,3+,Graduate,Yes,3686,1316,160,360,1,Urban,Y
LP001185,Male,No,1,Graduate,No,6954,1094,315,360,,Semiurban,Y
LP001186,Male,Yes,0,Graduate,No,5131,3092,237,360,1,Rural,Y
LP001187,Male,Yes,0,Graduate,No,3625,2214,147,180,1,Urban,Y
LP001188,Male,Yes,0,Not Graduate,No,5249,868,266,360,0,Urban,N
LP001189,Male,No,0,Graduate,,4886,1784,263,360,1,Urban,Y
LP001190,Male,Yes,0,Not Graduate,No,6697,0,242,300,1,Urban,Y
LP001191,Female,Yes,0,Not Graduate,No,3305,0,132,360,1,Urban,Y
LP001192,Male,No,0,Graduate,No,4309,0,198,360,1,Semiurban,Y
LP001193,Male,Yes,2,Graduate,No,4115,2744,244,360,0,Urban,N
LP001194,Female,Yes,0,Graduate,No,5807,2507,299,360,1,Semiurban,Y
LP001195,Male,No,3+,Graduate,,2667,6278,291,180,1,Rural,Y
LP001196,Male,Yes,1,Graduate,No,6685,3323,332,360,1,Rural,Y
LP001197,Male,Yes,0,Not Graduate,No,5218,0,209,360,,Semiurban,Y
LP001198,Female,No,0,Graduate,No,2339,3264,175,360,1,Urban,Y
LP001199,Male,No,0,Graduate,No,7286,0,285,360,1,Urban,N
LP001200,Male,Yes,3+,Not Graduate,No,11560,1122,480,240,1,Urban,Y
LP001201,Male,Yes,0,Graduate,No,6640,0,267,360,1,Rural,Y
LP001202,Female,Yes,0,Graduate,No,8040,547,336,180,1,Rural,Y
LP001203,Male,Yes,3+,Not Graduate,No,4396,1954,198,360,,Semiurban,Y
LP001204,Male,Yes,3+,Graduate,No,2003,1083,127,360,1,Urban,N
LP001205,Male,Yes,0,Graduate,No,1845,0,49,360,1,Semiurban,Y
LP001206,Male,No,0,Graduate,,4745,1047,211,360,1,Urban,Y
LP001207,Male,No,0,Not Graduate,No,3241,2577,187,360,1,Rural,Y
LP001208,Male,Yes,0,Graduate,,2803,2022,172,180,0,Urban,N
LP001209,Male,Yes,0,Graduate,No,4112,4630,227,360,1,Urban,Y
LP001210,Male,Yes,0,Graduate,No,5580,0,245,360,1,Semiurban,Y
LP001211,Male,No,2,Graduate,No,2200,1260,103,360,1,Urban,Y
LP001212,Male,Yes,0,Not Graduate,No,3456,0,169,360,1,Semiurban,Y
LP001213,Male,Yes,1,Graduate,No,8345,0,322,360,0,Rural,N
LP001214,Male,Yes,0,Not Graduate,No,2607,2550,167,240,1,Urban,N
LP001215,Male,Yes,2,Graduate,No,6257,2847,369,360,1,Semiurban,Y
LP001216,Male,No,1,Graduate,No,3401,0,129,360,0,Semiurban,Y
LP001217,,No,2,Not Graduate,No,5408,0,247,360,1,Urban,Y
LP001218,Male,Yes,3+,,No,6931,0,278,360,1,Urban,Y
LP001219,Female,No,0,Graduate,Yes,5905,0,247,360,1,Urban,Y
LP001220,Male,No,0,Not Graduate,No,6369,2269,313,360,1,Urban,N
LP001221,Male,Yes,0,Graduate,Yes,2519,0,122,360,1,Urban,Y
LP001222,Male,Yes,0,Graduate,Yes,6982,1935,311,180,1,Rural,Y
LP001223,Male,Yes,3+,Not Graduate,Yes,2882,0,91,360,1,Semiurban,Y
LP001224,Female,No,0,Graduate,No,4754,0,174,360,1,Rural,Y
LP001225,Male,Yes,2,Graduate,No,4751,3611,283,360,1,Semiurban,Y
LP001226,Female,Yes,0,Graduate,No,5262,0,205,360,1,,Y
LP001227,Male,Yes,0,Graduate,No,4923,1984,264,360,1,Semiurban,Y
LP001228,Male,No,0,Graduate,Yes,2894,1654,190,360,1,Urban,Y
LP001229,Male,Yes,1,Graduate,No,2304,8570,282,120,1,Urban,Y
LP001230,Male,No,1,Graduate,No,6264,1224,263,360,1,Semiurban,Y
LP001231,Male,Yes,0,Graduate,No,4599,0,148,360,1,Rural,Y
LP001232,Male,No,0,Graduate,No,7096,1274,366,360,1,Semiurban,Y
LP001233,Female,Yes,1,Graduate,No,4146,5834,319,360,1,Urban,Y
LP001234,Male,Yes,0,Graduate,No,2248,3402,187,360,1,Rural,Y
LP001235,Female,No,3+,Graduate,Yes,6534,0,228,360,1,Urban,Y
LP001236,Male,No,0,Graduate,No,,0,143,360,1,Rural,Y
LP001237,Male,Yes,0,Graduate,No,4934,0,210,360,1,Rural,Y
LP001238,Male,Yes,0,Not Graduate,No,3161,0,,120,1,Rural,Y
LP001239,Male,No,0,Graduate,Yes,8866,3149,460,300,1,Rural,Y
LP001240,Male,No,0,Graduate,No,2851,0,172,360,0,Urban,N
LP001241,Female,Yes,0,Not Graduate,No,3634,0,122,360,1,Semiurban,N
LP001242,Male,Yes,3+,Graduate,No,4440,0,152,180,1,Semiurban,Y
LP001243,Male,No,0,Graduate,Yes,2588,2588,146,60,0,Semiurban,N
LP001244,Male,No,0,Graduate,No,4909,0,237,240,0,Urban,N
LP001245,Male,No,0,Graduate,No,8737,2070,427,360,,Urban,Y
LP001246,Female,Yes,0,Graduate,Yes,3392,0,132,360,1,Urban,Y
LP001247,Male,Yes,1,Graduate,No,5053,5521,341,360,,Semiurban,N
LP001248,Male,No,0,Graduate,No,1500,0,40,,1,Semiurban,Y
LP001249,Male,No,1,Not Graduate,,4157,2583,253,360,,Rural,Y
LP001250,Male,No,0,Not Graduate,No,3674,0,137,360,1,Rural,Y
LP001251,Male,Yes,3+,Graduate,No,,0,111,,1,Semiurban,Y
LP001252,Female,Yes,0,Graduate,No,6882,0,290,360,1,Urban,Y
LP001253,Male,No,2,Graduate,No,3653,0,141,360,1,Semiurban,Y
LP001254,Male,Yes,0,,No,3905,0,150,360,1,Urban,Y
LP001255,Male,No,0,Graduate,No,3570,2426,204,360,1,Urban,Y
LP001256,Male,Yes,2,Graduate,No,1785,877,113,360,1,Urban,Y
LP001257,Female,No,1,Graduate,No,2542,0,143,360,0,Urban,Y
LP001258,Male,No,2,,Yes,6519,549,289,360,1,Urban,Y
LP001259,Male,Yes,0,Graduate,No,1637,2308,143,240,0,Semiurban,N
LP001260,Male,Yes,1,Graduate,No,2996,0,115,360,0,Urban,N
LP001261,Male,Yes,2,Graduate,,3534,0,124,360,1,Urban,Y
LP001262,Female,Yes,1,Not Graduate,No,9271,0,387,360,1,Urban,Y
LP001263,Male,Yes,0,Graduate,No,5978,0,243,360,1,Semiurban,Y
LP001264,Male,Yes,1,Graduate,No,3292,3223,177,360,0,Semiurban,N
LP001265,Female,No,1,Graduate,No,7609,1312,329,360,1,Urban,Y
LP001266,Male,Yes,3+,Graduate,No,3031,5224,250,360,1,Urban,Y
LP001267,Male,Yes,0,Graduate,No,6661,3133,332,360,,Rural,N
LP001268,Male,Yes,0,Graduate,No,2295,1091,156,360,1,Semiurban,Y
LP001269,,Yes,2,Graduate,No,6857,0,286,360,0,Semiurban,Y
LP001270,Male,Yes,0,Graduate,No,3524,0,175,360,1,Semiurban,Y
LP001271,Male,Yes,1,Graduate,No,2663,0,113,360,1,Rural,Y
LP001272,Male,No,0,Graduate,No,3836,0,155,360,1,Rural,Y
LP001273,Male,Yes,0,Graduate,No,4792,0,168,360,1,Semiurban,Y
LP001274,,No,1,Graduate,No,3386,1275,168,360,1,Semiurban,Y
LP001275,Male,Yes,0,Graduate,No,5428,0,217,180,0,Urban,Y
LP001276,Male,Yes,0,Graduate,No,3254,0,96,84,1,Semiurban,Y
LP001277,Male,No,1,Graduate,No,5592,3247,291,360,1,Semiurban,Y
LP001278,Male,No,1,Graduate,No,5162,0,198,360,0,Urban,Y
LP001279,Female,Yes,2,Not Graduate,No,4116,1680,217,360,1,Rural,Y
LP001280,Female,Yes,0,Not Graduate,No,3468,0,150,360,1,Rural,Y
LP001281,Male,Yes,0,Graduate,No,4529,1060,193,240,0,Urban,N
LP001282,Male,Yes,3+,Graduate,No,5419,0,228,360,1,Rural,Y
LP001283,Male,Yes,0,Graduate,Yes,10698,1840,469,84,1,Urban,Y
LP001284,Male,Yes,0,Graduate,No,6456,0,186,360,1,Semiurban,Y
LP001285,Male,Yes,0,Graduate,Yes,6563,0,250,360,1,Rural,Y
LP001286,Male,Yes,0,Not Graduate,No,16981,980,480,240,1,Urban,Y
LP001287,Male,No,2,Not Graduate,No,5336,0,171,360,1,Semiurban,Y
LP001288,Male,No,2,Graduate,No,5261,0,213,180,1,Semiurban,Y
LP001289,Male,Yes,1,Graduate,No,5807,1310,305,360,1,Urban,Y
LP001290,Male,Yes,0,Not Graduate,Yes,2686,0,88,240,1,Semiurban,Y
LP001291,Female,Yes,0,Graduate,No,3464,3447,225,360,1,Urban,N
LP001292,Male,Yes,0,Not Graduate,No,3369,2378,162,360,1,Semiurban,Y
LP001293,Female,No,0,Graduate,No,5661,0,267,240,1,Urban,Y
LP001294,Male,No,0,Not Graduate,Yes,3911,813,175,360,1,Urban,Y
LP001295,Female,No,0,Graduate,No,4502,0,181,360,0,Semiurban,N
LP001296,Female,No,0,Graduate,No,6901,2489,372,180,1,Urban,Y
LP001297,Female,No,0,Graduate,No,6238,0,266,360,1,Semiurban,Y
LP001298,Male,No,1,Graduate,Yes,3933,0,135,,1,Semiurban,Y
LP001299,Male,Yes,0,Graduate,No,3129,0,109,360,1,Rural,Y
LP001300,Male,Yes,0,Not Graduate,No,7051,3024,370,360,0,Urban,N
LP001301,Male,Yes,2,Graduate,Yes,5992,3770,318,360,1,Rural,Y
LP001302,Male,Yes,1,Not Graduate,No,2053,2353,88,360,1,Semiurban,Y
LP001303,Male,Yes,2,Graduate,No,3674,657,162,84,1,Urban,Y
LP001304,Male,No,0,Graduate,No,4557,1119,173,360,1,Rural,Y
LP001305,Female,Yes,2,Graduate,No,6006,2804,351,360,1,Semiurban,Y
LP001306,Male,Yes,0,Graduate,No,6371,2024,310,360,0,Semiurban,N
LP001307,Male,,0,Graduate,No,4807,397,180,360,1,Semiurban,Y
LP001308,Male,Yes,0,Graduate,No,5505,0,203,360,1,Semiurban,Y
LP001309,Male,Yes,0,Graduate,No,4354,2169,181,180,1,Rural,Y
LP001310,Male,No,0,Graduate,No,3124,1222,128,180,1,Semiurban,Y
LP001311,Male,Yes,0,Not Graduate,No,3761,0,176,120,1,,Y
LP001312,Male,No,2,Graduate,No,4266,0,226,360,1,Semiurban,Y
LP001313,Male,Yes,0,Not Graduate,No,4165,0,185,360,1,Rural,Y
LP001314,Male,Yes,0,Graduate,No,1811,2478,132,360,1,Rural,Y
LP001315,Male,Yes,0,Graduate,No,3537,0,131,180,0,Urban,N
LP001316,Male,No,0,Graduate,No,4339,5293,282,360,1,Urban,Y
LP001317,Male,No,0,Graduate,Yes,3727,2480,263,360,0,Semiurban,N
LP001318,Male,Yes,0,Graduate,No,3785,2637,213,360,1,Semiurban,Y
LP001319,Male,No,0,Graduate,No,5269,0,264,,1,Semiurban,Y
LP001320,Female,Yes,2,Graduate,No,2603,940,162,240,0,Rural,N
LP001321,Female,No,3+,Graduate,No,2033,2941,111,120,1,Rural,Y
LP001322,Male,Yes,0,Graduate,Yes,3617,0,128,360,1,Semiurban,Y
LP001323,Male,Yes,1,Graduate,No,5966,0,222,60,1,Semiurban,Y
LP001324,Male,No,2,Not Graduate,No,9040,0,360,360,1,Urban,Y
LP001325,Female,Yes,3+,Graduate,No,6015,0,239,360,0,Semiurban,N
LP001326,Male,Yes,1,Not Graduate,No,2185,2145,216,360,1,Urban,Y
LP001327,,Yes,2,Not Graduate,No,3810,316,133,360,1,Semiurban,Y
LP001328,Male,Yes,2,Not Graduate,No,4748,2225,251,360,1,Semiurban,Y
LP001329,Male,No,2,Not Graduate,,4582,2937,272,360,1,Semiurban,Y
LP001330,Male,No,0,Graduate,No,5392,2611,281,360,1,Semiurban,Y
LP001331,Male,No,0,Graduate,No,2800,1879,,360,0,Urban,N
LP001332,Male,Yes,0,Graduate,No,4356,5352,282,240,1,Urban,Y
LP001333,Male,Yes,0,Not Graduate,No,5111,0,207,360,0,Urban,N
LP001334,Female,Yes,0,Graduate,No,6134,2598,323,360,,Rural,Y
LP001335,Male,Yes,0,Graduate,No,2944,0,126,360,1,Rural,Y
LP001336,Male,Yes,0,Not Graduate,No,3622,2484,221,240,1,Urban,Y
LP001337,Male,No,,Graduate,No,1500,1166,124,360,1,Urban,Y
LP001338,Male,No,2,Graduate,No,3198,463,163,360,,Semiurban,N
LP001339,Male,No,0,Graduate,No,3341,0,135,360,1,Semiurban,Y
LP001340,Female,Yes,0,Graduate,Yes,2674,3154,157,360,1,Urban,Y
LP001341,Male,Yes,2,Graduate,No,4557,0,167,360,1,Urban,Y
LP001342,Female,Yes,2,Not Graduate,No,4125,3232,240,360,1,Semiurban,Y
LP001343,Male,Yes,3+,Graduate,No,1531,0,68,360,1,Urban,Y
LP001344,Male,Yes,2,Graduate,No,4661,4328,283,360,0,Urban,N
LP001345,Male,Yes,2,Graduate,No,2786,1674,130,360,1,Urban,Y
LP001346,Male,Yes,0,Graduate,No,5264,0,181,360,1,Semiurban,Y
LP001347,Female,No,0,Graduate,No,2376,0,54,360,1,Semiurban,Y
